age,sex,primacy_farming,primacy_coffee,coffee_count,coffee_count_unit,coffee_count_set,subcounty,parish,village,practice_list,weeding_status,weeding_constraint_1,weeding_constraint_2,weeding_constraint_3,weeding_constraint_4,weeding_constraint_5,weeding_constraint_6,weeding_constraint_7,weeding_other_1,weeding_other_2,weeding_other_3,weeding_other_4,weeding_other_5,weeding_other_6,weeding_other_7,herbicide_status,herbicide_constraint_1,herbicide_constraint_2,herbicide_constraint_3,herbicide_constraint_4,herbicide_constraint_5,herbicide_constraint_6,herbicide_constraint_7,herbicide_other_1,herbicide_other_2,herbicide_other_3,herbicide_other_4,herbicide_other_5,herbicide_other_6,herbicide_other_7,mulch_status,mulch_constraint_1,mulch_constraint_2,mulch_constraint_3,mulch_constraint_4,mulch_constraint_5,mulch_constraint_6,mulch_constraint_7,mulch_other_1,mulch_other_2,mulch_other_3,mulch_other_4,mulch_other_5,mulch_other_6,mulch_other_7,pruning_status,pruning_constraint_1,pruning_constraint_2,pruning_constraint_3,pruning_constraint_4,pruning_constraint_5,pruning_constraint_6,pruning_constraint_7,pruning_other_1,pruning_other_2,pruning_other_3,pruning_other_4,pruning_other_5,pruning_other_6,pruning_other_7,shade_planting_status,shade_planting_constraint_1,shade_planting_constraint_2,shade_planting_constraint_3,shade_planting_constraint_4,shade_planting_constraint_5,shade_planting_constraint_6,shade_planting_constraint_7,shade_planting_other_1,shade_planting_other_2,shade_planting_other_3,shade_planting_other_4,shade_planting_other_5,shade_planting_other_6,shade_planting_other_7,suckering_status,suckering_constraint_1,suckering_constraint_2,suckering_constraint_3,suckering_constraint_4,suckering_constraint_5,suckering_constraint_6,suckering_constraint_7,suckering_other_1,suckering_other_2,suckering_other_3,suckering_other_4,suckering_other_5,suckering_other_6,suckering_other_7,bctb_status,bctb_constraint_1,bctb_constraint_2,bctb_constraint_3,bctb_constraint_4,bctb_constraint_5,bctb_constraint_6,bctb_constraint_7,bctb_other_1,bctb_other_2,bctb_other_3,bctb_other_4,bctb_other_5,bctb_other_6,bctb_other_7,cwd_status,cwd_constraint_1,cwd_constraint_2,cwd_constraint_3,cwd_constraint_4,cwd_constraint_5,cwd_constraint_6,cwd_constraint_7,cwd_other_1,cwd_other_2,cwd_other_3,cwd_other_4,cwd_other_5,cwd_other_6,cwd_other_7,manure_status,manure_constraint_1,manure_constraint_2,manure_constraint_3,manure_constraint_4,manure_constraint_5,manure_constraint_6,manure_constraint_7,manure_other_1,manure_other_2,manure_other_3,manure_other_4,manure_other_5,manure_other_6,manure_other_7,gap_filling_status,gap_filling_constraint_1,gap_filling_constraint_2,gap_filling_constraint_3,gap_filling_constraint_4,gap_filling_constraint_5,gap_filling_constraint_6,gap_filling_constraint_7,gap_filling_other_1,gap_filling_other_2,gap_filling_other_3,gap_filling_other_4,gap_filling_other_5,gap_filling_other_6,gap_filling_other_7,trenching_status,trenching_constraint_1,trenching_constraint_2,trenching_constraint_3,trenching_constraint_4,trenching_constraint_5,trenching_constraint_6,trenching_constraint_7,trenching_other_1,trenching_other_2,trenching_other_3,trenching_other_4,trenching_other_5,trenching_other_6,trenching_other_7,de_silting_status,de_silting_constraint_1,de_silting_constraint_2,de_silting_constraint_3,de_silting_constraint_4,de_silting_constraint_5,de_silting_constraint_6,de_silting_constraint_7,de_silting_other_1,de_silting_other_2,de_silting_other_3,de_silting_other_4,de_silting_other_5,de_silting_other_6,de_silting_other_7,basins_status,basins_constraint_1,basins_constraint_2,basins_constraint_3,basins_constraint_4,basins_constraint_5,basins_constraint_6,basins_constraint_7,basins_other_1,basins_other_2,basins_other_3,basins_other_4,basins_other_5,basins_other_6,basins_other_7,fert_status,fert_constraint_1,fert_constraint_2,fert_constraint_3,fert_constraint_4,fert_constraint_5,fert_constraint_6,fert_constraint_7,fert_other_1,fert_other_2,fert_other_3,fert_other_4,fert_other_5,fert_other_6,fert_other_7,shade_management_status,shade_management_constraint_1,shade_management_constraint_2,shade_management_constraint_3,shade_management_constraint_4,shade_management_constraint_5,shade_management_constraint_6,shade_management_constraint_7,shade_management_other_1,shade_management_other_2,shade_management_other_3,shade_management_other_4,shade_management_other_5,shade_management_other_6,shade_management_other_7
NA,f,0,1,2500,trees,total,LWANDA,BITABAGO,BITABAGO,weeding herbicide pruning suckering bctb manure gap_filling trenching trench_silting fertilizer,current,labor,cost,time,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,labor,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,access,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,cost,labor,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,cost,labor,access,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,cost,labor,access,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,cost,skill,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,m,1,1,1500,trees,total,LWANDA,BITABAGO,BITABAGO,weeding herbicide pruning shade_planting suckering bctb manure gap_filling trenching fertilizer,current,labor,cost,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,labor,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,labor,cost,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,access,labor,skill,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,access,cost,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,time,cost,skill,labor,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,f,1,1,6,acres,total,LWANDA,BITABAGO,BITABAGO,weeding herbicide pruning shade_planting suckering manure gap_filling trenching trench_silting fertilizer,current,labor,cost,labor,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,access,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,skill,cost,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,access,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,skill,cost,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,skill,time,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,skill,time,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,skill,labor,cost,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,f,1,1,400,trees,total,LWANDA,BITABAGO,BITABAGO,weeding herbicide pruning shade_planting suckering bctb gap_filling trenching fertilizer shade_management,current,labor,cost,time,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,time,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,m,1,0,800,trees,total,LWANDA,BITABAGO,BITABAGO,weeding herbicide pruning shade_planting suckering bctb trenching basins fertilizer shade_management,current,time,labor,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,skill,access,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,skill,labor,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,skill,labor,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,labor,skill,cost,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,skill,time,labor,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,labor,time,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,1,4,acres,total,LWANDA,KASENSERO,KISIMBA_LUSOLO,weeding herbicide pruning shade_planting suckering bctb trenching trench_silting fertilizer shade_management,current,time,labor,cost,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,other,access,NA,NA,NA,NA,NA,Counterfeit herbicides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,access,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,skill,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,cost,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,labor,cost,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,cost,time,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,0,2000,trees,total,LWANDA,KASENSERO,KISIMBA_LUSOLO,weeding herbicide pruning suckering bctb trenching trench_silting basins fertilizer shade_management,current,time,labor,access,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,other,access,NA,NA,NA,NA,NA,Fake herbicides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,cost,time,other,NA,NA,NA,NA,NA,NA,The remaining trees get affected by disease and dry up,NA,NA,NA,current,time,labor,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,cost,labor,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,cost,labor,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,skill,other,NA,NA,NA,NA,NA,NA,We were told by extension officers that the buyers do not want us to use artificial fertilizers. This might affect the market.,NA,NA,NA,NA,NA,current,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,m,1,1,800,trees,total,LWANDA,KASENSERO,KISIMBA_LUSOLO,weeding herbicide mulching pruning suckering bctb cwd manure gap_filling basins,current,labor,cost,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,access,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,access,cost,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,other,labor,time,skill,cost,access,NA,Biting insects,NA,NA,NA,NA,NA,NA,current,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,skill,access,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,time,labor,other,NA,NA,NA,NA,NA,NA,The new coffee trees are easily affected by disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,labor,skill,cost,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,f,1,1,3,acres,total,LWANDA,KASENSERO,KISIMBA_LUSOLO,weeding herbicide mulching suckering bctb cwd trenching trench_silting fertilizer shade_management,current,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,cost,skill,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,access,cost,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,labor,time,access,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,time,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,skill,labor,time,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,labor,cost,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,labor,time,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,access,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,m,1,1,1,acres,total,LWANDA,KASENSERO,KISIMBA_LUSOLO,weeding herbicide mulching pruning shade_planting suckering manure fertilizer,current,time,cost,labor,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,cost,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,labor,time,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,access,cost,time,labor,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,access,cost,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,f,1,1,2,acres,total,LWANDA,KASENSERO,KISIMBA_LUSOLO,weeding herbicide mulching pruning shade_planting suckering bctb manure trenching fertilizer,current,access,cost,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,skill,access,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,access,cost,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,other,time,labor,skill,cost,access,NA,Biting insects,NA,NA,NA,NA,NA,NA,current,access,skill,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,time,labor,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,access,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,previous,cost,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,f,0,0,350,trees,total,LWANDA,BUTITI,KABARUNGI,weeding herbicide mulching pruning shade_planting suckering bctb gap_filling trench_silting shade_management,current,labor,cost,time,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,access,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,labor,cost,time,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,labor,time,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,skill,cost,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,cost,time,labor,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,time,NA,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,skill,labor,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,f,1,1,400,trees,total,LWANDA,BUTITI,KABARUNGI,weeding herbicide pruning shade_planting suckering bctb cwd manure gap_filling shade_management,current,cost,labor,time,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,skill,access,labor,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,access,cost,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,time,access,cost,labor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,f,1,1,120,trees,total,LWANDA,BUTITI,KABARUNGI,weeding pruning shade_planting suckering bctb cwd manure gap_filling basins shade_management,current,cost,labor,time,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,time,labor,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,skill,time,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,skill,time,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,labor,time,skill,access,access,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,f,1,1,300,trees,total,LWANDA,BUTITI,KABARUNGI,weeding herbicide mulching pruning shade_planting suckering bctb gap_filling basins shade_management,current,labor,time,cost,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,labor,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,time,labor,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,skill,labor,time,access,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,skill,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,skill,cost,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,time,labor,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,never,cost,labor,time,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,skill,labor,access,cost,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,m,1,1,500,trees,total,LWANDA,BUTITI,KABARUNGI,weeding herbicide mulching pruning shade_planting suckering bctb cwd manure gap_filling,current,labor,time,cost,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,labor,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,access,cost,labor,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,cost,time,access,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,cost,skill,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,time,labor,cost,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,labor,time,cost,skill,access,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,labor,time,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,current,cost,access,time,labor,skill,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
